model_id_list,dev_alphabetical_id,dev_numerical_id
D35_Samsung_GalaxyTabA,D35_V_flatYT_move_0002,33
D16_Huawei_P9Lite,D16_V_outdoorYT_move_0002,14
D13_Apple_iPad2,D13_V_indoorYT_still_0001,11
D04_LG_D290,D04_V_outdoorYT_move_0001,3
D16_Huawei_P9Lite,D16_V_flatYT_panrot_0002,14
D25_OnePlus_A3000,D25_V_outdoorYT_panrot_0001,23
D08_Samsung_GalaxyTab3,D08_V_flatYT_panrot_0004,7
D08_Samsung_GalaxyTab3,D08_V_indoorYT_move_0003,7
D13_Apple_iPad2,D13_V_outdoorYT_still_0002,11
D26_Samsung_GalaxyS3Mini,D26_V_outdoorYT_move_0002,24
D13_Apple_iPad2,D13_V_outdoorYT_move_0002,11
D14_Apple_iPhone5c,D14_V_indoorYT_panrot_0001,12
D28_Huawei_P8,D28_V_indoorYT_move_0001,26
D02_Apple_iPhone4s,D02_V_indoorYT_move_0001,1
D22_Samsung_GalaxyTrendPlus,D22_V_flatYT_move_0002,20
D18_Apple_iPhone5c,D18_V_flatYT_move_0001,16
D29_Apple_iPhone5,D29_V_flatYT_still_0002,27
D14_Apple_iPhone5c,D14_V_flatYT_still_0002,12
D06_Apple_iPhone6,D06_V_indoorYT_still_0001,5
D15_Apple_iPhone6,D15_V_outdoorYT_move_0002,13
D23_Asus_Zenfone2Laser,D23_V_indoorYT_panrot_0002,21
D10_Apple_iPhone4s,D10_V_indoorYT_move_0001,9
D08_Samsung_GalaxyTab3,D08_V_outdoorYT_move_0004,7
D34_Apple_iPhone5,D34_V_indoorYT_move_0004,32
D26_Samsung_GalaxyS3Mini,D26_V_indoorYT_move_0002,24
D02_Apple_iPhone4s,D02_V_flatYT_still_0001,1
D22_Samsung_GalaxyTrendPlus,D22_V_outdoorYT_move_0001,20
D18_Apple_iPhone5c,D18_V_indoorYT_panrot_0001,16
D03_Huawei_P9,D03_V_flatYT_still_0001,2
D26_Samsung_GalaxyS3Mini,D26_V_outdoorYT_move_0001,24
D15_Apple_iPhone6,D15_V_indoorYT_still_0001,13
D04_LG_D290,D04_V_indoorYT_still_0001,3
D19_Apple_iPhone6Plus,D19_V_indoorYT_still_0001,17
D05_Apple_iPhone5c,D05_V_indoorYT_panrot_0001,4
D04_LG_D290,D04_V_indoorYT_still_0002,3
D15_Apple_iPhone6,D15_V_indoorYT_panrot_0002,13
D04_LG_D290,D04_V_outdoorYT_panrot_0002,3
D19_Apple_iPhone6Plus,D19_V_outdoorYT_still_0001,17
D23_Asus_Zenfone2Laser,D23_V_flatYT_still_0002,21
D30_Huawei_Honor5c,D30_V_outdoorYT_still_0002,28
D03_Huawei_P9,D03_V_flatYT_panrot_0002,2
D02_Apple_iPhone4s,D02_V_outdoorYT_still_0001,1
D25_OnePlus_A3000,D25_V_indoorYT_still_0001,23
D09_Apple_iPhone4,D09_V_outdoorYT_still_0001,8
D28_Huawei_P8,D28_V_indoorYT_still_0001,26
D19_Apple_iPhone6Plus,D19_V_indoorYT_panrot_0001,17
D06_Apple_iPhone6,D06_V_flatYT_panrot_0002,5
D31_Samsung_GalaxyS4Mini,D31_V_flatYT_move_0003,29
D06_Apple_iPhone6,D06_V_outdoorYT_panrot_0001,5
D25_OnePlus_A3000,D25_V_indoorYT_panrot_0001,23
D20_Apple_iPadMini,D20_V_indoorYT_move_0002,18
D35_Samsung_GalaxyTabA,D35_V_outdoorYT_still_0002,33
D01_Samsung_GalaxyS3Mini,D01_V_outdoorYT_still_0003,0
D25_OnePlus_A3000,D25_V_flatYT_move_0003,23
D11_Samsung_GalaxyS3,D11_V_flatYT_panrot_0002,10
D13_Apple_iPad2,D13_V_outdoorYT_panrot_0001,11
D21_Wiko_Ridge4G,D21_V_outdoorYT_move_0001,19
D21_Wiko_Ridge4G,D21_V_flatYT_move_0002,19
D28_Huawei_P8,D28_V_outdoorYT_panrot_0002,26
D06_Apple_iPhone6,D06_V_outdoorYT_still_0002,5
D20_Apple_iPadMini,D20_V_outdoorYT_move_0001,18
D34_Apple_iPhone5,D34_V_indoorYT_still_0002,32
D08_Samsung_GalaxyTab3,D08_V_flatYT_still_0005,7
D02_Apple_iPhone4s,D02_V_indoorYT_panrot_0001,1
D19_Apple_iPhone6Plus,D19_V_flatYT_still_0001,17
D14_Apple_iPhone5c,D14_V_flatYT_still_0001,12
D08_Samsung_GalaxyTab3,D08_V_indoorYT_move_0004,7
D28_Huawei_P8,D28_V_outdoorYT_move_0002,26
D01_Samsung_GalaxyS3Mini,D01_V_flatYT_panrot_0001,0
D30_Huawei_Honor5c,D30_V_flatYT_panrot_0002,28
D01_Samsung_GalaxyS3Mini,D01_V_outdoorYT_still_0002,0
D07_Lenovo_P70A,D07_V_flatYT_still_0002,6
D03_Huawei_P9,D03_V_outdoorYT_still_0001,2
D34_Apple_iPhone5,D34_V_outdoorYT_move_0001,32
D33_Huawei_Ascend,D33_V_flatYT_still_0001,31
D24_Xiaomi_RedmiNote3,D24_V_flatYT_move_0003,22
D23_Asus_Zenfone2Laser,D23_V_outdoorYT_still_0001,21
D09_Apple_iPhone4,D09_V_indoorYT_move_0002,8
D35_Samsung_GalaxyTabA,D35_V_flatYT_still_0001,33
D27_Samsung_GalaxyS5,D27_V_indoorYT_still_0002,25
D15_Apple_iPhone6,D15_V_outdoorYT_still_0001,13
D15_Apple_iPhone6,D15_V_outdoorYT_panrot_0002,13
D03_Huawei_P9,D03_V_indoorYT_still_0001,2
D24_Xiaomi_RedmiNote3,D24_V_outdoorYT_move_0002,22
D33_Huawei_Ascend,D33_V_flatYT_still_0002,31
D27_Samsung_GalaxyS5,D27_V_indoorYT_move_0001,25
D26_Samsung_GalaxyS3Mini,D26_V_outdoorYT_still_0001,24
D25_OnePlus_A3000,D25_V_flatYT_panrot_0001,23
D31_Samsung_GalaxyS4Mini,D31_V_flatYT_panrot_0002,29
D05_Apple_iPhone5c,D05_V_indoorYT_still_0002,4
D34_Apple_iPhone5,D34_V_indoorYT_panrot_0001,32
D34_Apple_iPhone5,D34_V_flatYT_panrot_0004,32
D05_Apple_iPhone5c,D05_V_flatYT_panrot_0002,4
D07_Lenovo_P70A,D07_V_indoorYT_panrot_0002,6
D11_Samsung_GalaxyS3,D11_V_flatYT_still_0001,10
D08_Samsung_GalaxyTab3,D08_V_flatYT_move_0001,7
D24_Xiaomi_RedmiNote3,D24_V_indoorYT_move_0002,22
D10_Apple_iPhone4s,D10_V_outdoorYT_move_0001,9
D33_Huawei_Ascend,D33_V_indoorYT_move_0001,31
D28_Huawei_P8,D28_V_indoorYT_panrot_0001,26
D02_Apple_iPhone4s,D02_V_outdoorYT_panrot_0001,1
D33_Huawei_Ascend,D33_V_indoorYT_still_0002,31
D23_Asus_Zenfone2Laser,D23_V_flatYT_move_0003,21
D28_Huawei_P8,D28_V_indoorYT_still_0002,26
D22_Samsung_GalaxyTrendPlus,D22_V_flatYT_panrot_0001,20
D35_Samsung_GalaxyTabA,D35_V_indoorYT_move_0002,33
D24_Xiaomi_RedmiNote3,D24_V_flatYT_still_0002,22
D05_Apple_iPhone5c,D05_V_flatYT_move_0001,4
D19_Apple_iPhone6Plus,D19_V_outdoorYT_still_0002,17
D08_Samsung_GalaxyTab3,D08_V_outdoorYT_panrot_0001,7
D28_Huawei_P8,D28_V_flatYT_panrot_0001,26
D04_LG_D290,D04_V_outdoorYT_still_0001,3
D29_Apple_iPhone5,D29_V_outdoorYT_move_0002,27
D04_LG_D290,D04_V_outdoorYT_panrot_0001,3
D22_Samsung_GalaxyTrendPlus,D22_V_indoorYT_still_0001,20
D30_Huawei_Honor5c,D30_V_flatYT_still_0002,28
D27_Samsung_GalaxyS5,D27_V_outdoorYT_still_0001,25
D16_Huawei_P9Lite,D16_V_outdoorYT_panrot_0002,14
D02_Apple_iPhone4s,D02_V_outdoorYT_panrot_0002,1
D11_Samsung_GalaxyS3,D11_V_indoorYT_panrot_0002,10
D07_Lenovo_P70A,D07_V_flatYT_panrot_0002,6
D13_Apple_iPad2,D13_V_flatYT_still_0001,11
D23_Asus_Zenfone2Laser,D23_V_outdoorYT_move_0001,21
D10_Apple_iPhone4s,D10_V_indoorYT_panrot_0001,9
D29_Apple_iPhone5,D29_V_flatYT_still_0001,27
D20_Apple_iPadMini,D20_V_indoorYT_still_0002,18
D09_Apple_iPhone4,D09_V_indoorYT_still_0001,8
D31_Samsung_GalaxyS4Mini,D31_V_indoorYT_still_0001,29
D32_OnePlus_A3003,D32_V_outdoorYT_move_0001,30
D01_Samsung_GalaxyS3Mini,D01_V_indoorYT_panrot_0002,0
D01_Samsung_GalaxyS3Mini,D01_V_indoorYT_still_0002,0
D23_Asus_Zenfone2Laser,D23_V_flatYT_move_0001,21
D14_Apple_iPhone5c,D14_V_outdoorYT_move_0001,12
D26_Samsung_GalaxyS3Mini,D26_V_flatYT_move_0001,24
D26_Samsung_GalaxyS3Mini,D26_V_indoorYT_still_0002,24
D04_LG_D290,D04_V_indoorYT_panrot_0001,3
D03_Huawei_P9,D03_V_flatYT_move_0001,2
D23_Asus_Zenfone2Laser,D23_V_flatYT_still_0001,21
D07_Lenovo_P70A,D07_V_outdoorYT_move_0001,6
D08_Samsung_GalaxyTab3,D08_V_flatYT_still_0003,7
D20_Apple_iPadMini,D20_V_outdoorYT_panrot_0001,18
D34_Apple_iPhone5,D34_V_outdoorYT_move_0004,32
D03_Huawei_P9,D03_V_flatYT_still_0002,2
D31_Samsung_GalaxyS4Mini,D31_V_outdoorYT_move_0001,29
D07_Lenovo_P70A,D07_V_flatYT_move_0003,6
D05_Apple_iPhone5c,D05_V_flatYT_move_0002,4
D23_Asus_Zenfone2Laser,D23_V_outdoorYT_panrot_0001,21
D14_Apple_iPhone5c,D14_V_outdoorYT_move_0002,12
D10_Apple_iPhone4s,D10_V_indoorYT_still_0002,9
D04_LG_D290,D04_V_flatYT_panrot_0001,3
D15_Apple_iPhone6,D15_V_flatYT_panrot_0002,13
D05_Apple_iPhone5c,D05_V_indoorYT_still_0001,4
D24_Xiaomi_RedmiNote3,D24_V_outdoorYT_still_0002,22
D31_Samsung_GalaxyS4Mini,D31_V_outdoorYT_still_0001,29
D28_Huawei_P8,D28_V_flatYT_still_0002,26
D17_Microsoft_Lumia640LTE,D17_V_flatYT_still_0001,15
D23_Asus_Zenfone2Laser,D23_V_outdoorYT_panrot_0002,21
D27_Samsung_GalaxyS5,D27_V_flatYT_move_0003,25
D07_Lenovo_P70A,D07_V_indoorYT_move_0002,6
D06_Apple_iPhone6,D06_V_outdoorYT_still_0001,5
D09_Apple_iPhone4,D09_V_indoorYT_panrot_0001,8
D05_Apple_iPhone5c,D05_V_indoorYT_panrot_0002,4
D31_Samsung_GalaxyS4Mini,D31_V_indoorYT_move_0001,29
D26_Samsung_GalaxyS3Mini,D26_V_outdoorYT_panrot_0001,24
D11_Samsung_GalaxyS3,D11_V_flatYT_move_0002,10
D08_Samsung_GalaxyTab3,D08_V_flatYT_still_0001,7
D27_Samsung_GalaxyS5,D27_V_indoorYT_move_0002,25
D04_LG_D290,D04_V_outdoorYT_still_0002,3
D29_Apple_iPhone5,D29_V_indoorYT_still_0002,27
D24_Xiaomi_RedmiNote3,D24_V_flatYT_panrot_0002,22
D17_Microsoft_Lumia640LTE,D17_V_outdoorYT_panrot_0001,15
D10_Apple_iPhone4s,D10_V_outdoorYT_panrot_0001,9
D02_Apple_iPhone4s,D02_V_indoorYT_still_0001,1
D15_Apple_iPhone6,D15_V_flatYT_move_0002,13
D26_Samsung_GalaxyS3Mini,D26_V_indoorYT_panrot_0001,24
D17_Microsoft_Lumia640LTE,D17_V_indoorYT_still_0001,15
D25_OnePlus_A3000,D25_V_outdoorYT_move_0002,23
D32_OnePlus_A3003,D32_V_indoorYT_still_0002,30
D34_Apple_iPhone5,D34_V_indoorYT_move_0003,32
D08_Samsung_GalaxyTab3,D08_V_outdoorYT_move_0001,7
D14_Apple_iPhone5c,D14_V_outdoorYT_panrot_0002,12
D25_OnePlus_A3000,D25_V_indoorYT_panrot_0002,23
D18_Apple_iPhone5c,D18_V_outdoorYT_still_0002,16
D16_Huawei_P9Lite,D16_V_outdoorYT_still_0001,14
D06_Apple_iPhone6,D06_V_flatYT_panrot_0001,5
D29_Apple_iPhone5,D29_V_flatYT_move_0003,27
D33_Huawei_Ascend,D33_V_flatYT_move_0003,31
D07_Lenovo_P70A,D07_V_flatYT_move_0001,6
D35_Samsung_GalaxyTabA,D35_V_outdoorYT_panrot_0002,33
